name,type,category,flavor_text,base_power,accuracy,pp
Thunder,Electric,Special,A wicked thunderbolt is dropped on the target to inflict damage. This may also leave the target with paralysis.,110,70,10
Thunder Cage,Electric,Special,The user traps the target inside a cage of sparking electricity that inflicts damage for four to five turns.,80,90,15
Thunder Fang,Electric,Physical,The user bites with electrified fangs. This may also make the target flinch or leave it with paralysis.,65,95,15
Thunder Punch,Electric,Physical,The target is attacked with an electrified punch. This may also leave the target with paralysis.,75,100,15
Thunder Shock,Electric,Special,The user attacks the target with a jolt of electricity. This may also leave the target with paralysis.,40,100,30
Thunder Wave,Electric,Status,The user launches a weak jolt of electricity that paralyzes the target.,,90,20
Thunderbolt,Electric,Special,The user attacks the target with a strong electric blast. This may also leave the target with paralysis.,90,100,15
Thunderous Kick,Fighting,Physical,The user overwhelms the target with lightning-like movement before delivering a kick. This also lowers the target’s Defense stat.,90,100,10
Tickle,Normal,Status,"The user tickles the target into laughing, lowering its Attack and Defense stats.",,100,20
Tidy Up,Normal,Status,"The user tidies up and removes the effects of Spikes, Stealth Rock, Sticky Web, Toxic Spikes, and Substitute. This also boosts the user’s Attack and Speed stats.",,,10
Topsy-Turvy,Dark,Status,All stat changes affecting the target turn topsy-turvy and become the opposite of what they were.,,,20
Torch Song,Fire,Special,"The user blows out raging flames as if singing a song, scorching the target. This also boosts the user’s Sp. Atk stat.",80,100,10
Torment,Dark,Status,"The user torments and enrages the target, making it incapable of using the same move twice in a row.",,100,15
Toxic,Poison,Status,A move that leaves the target badly poisoned. Its poison damage worsens every turn.,,90,10
Toxic Spikes,Poison,Status,The user lays a trap of poison spikes at the feet of the opposing team. The spikes will poison opposing Pokémon that switch into battle.,,,20
Toxic Thread,Poison,Status,The user shoots poisonous threads to poison the target and lower the target’s Speed stat.,,100,20
Trailblaze,Grass,Physical,The user attacks suddenly as if leaping out from tall grass. The user’s nimble footwork boosts its Speed stat.,50,100,20
Transform,Normal,Status,"The user transforms into a copy of the target, right down to having the same move set.",,,10
Tri Attack,Normal,Special,"The user strikes with a simultaneous three-beam attack. This may also burn, freeze, or paralyze the target.",80,100,10
Trick,Psychic,Status,The user catches the target off guard and swaps the target’s held item with its own.,,100,10
Trick Room,Psychic,Status,The user creates a bizarre area in which slower Pokémon get to move first for five turns.,,,5
Trick-or-Treat,Ghost,Status,The user takes the target trick-or-treating. This adds Ghost type to the target’s type.,,100,20
Triple Arrows,Fighting,Physical,"The user kicks, then fires three arrows. This move has a heightened chance of landing a critical hit and may also lower the target’s Defense stat or make it flinch.",90,100,10
Triple Axel,Ice,Physical,A consecutive three-kick attack that becomes more powerful with each successful hit.,20,90,10
Triple Dive,Water,Physical,"The user performs a perfectly timed triple dive, hitting the target with splashes of water three times in a row.",30,95,10
Triple Kick,Fighting,Physical,A consecutive three-kick attack that becomes more powerful with each successful hit.,10,90,10
Trop Kick,Grass,Physical,The user lands an intense kick of tropical origins on the target. This also lowers the target’s Attack stat.,70,100,15
Trump Card,Normal,Special,"The fewer PP this move has, the greater its power.",,,5
Twin Beam,Psychic,Special,The user shoots mystical beams from its eyes to inflict damage. The target is hit twice in a row.,40,100,10
Twineedle,Bug,Physical,The user damages the target twice in succession by jabbing it with two spikes. This may also poison the target.,25,100,20
Twister,Dragon,Special,The user whips up a vicious tornado to tear at opposing Pokémon. This may also make them flinch.,40,100,20
U-turn,Bug,Physical,"After making its attack, the user rushes back to switch places with a party Pokémon in waiting.",70,100,20
Uproar,Normal,Special,"The user attacks in an uproar for three turns. During that time, no Pokémon can fall asleep.",90,100,10
V-create,Fire,Physical,"The user emits a hot flame from its forehead and hurls itself at the target to inflict damage. This also lowers the user’s Defense, Sp. Def, and Speed stats.",180,95,5
Vacuum Wave,Fighting,Special,The user whirls its fists to send a wave of pure vacuum at the target. This move always goes first.,40,100,30
Veevee Volley,Normal,Physical,"The more Eevee loves its Trainer, the greater the move’s power. It never misses.",,,20
Venom Drench,Poison,Status,"Opposing Pokémon are drenched in an odd poisonous liquid. This lowers the Attack, Sp. Atk, and Speed stats of a poisoned target.",,100,20
Venoshock,Poison,Special,The user drenches the target in a special poisonous liquid. This move’s power is doubled if the target is poisoned.,65,100,10
Victory Dance,Fighting,Status,"The user performs an intense dance to usher in victory, boosting its Attack, Defense, and Speed stats.",,,10
Vine Whip,Grass,Physical,"The target is struck with slender, whiplike vines to inflict damage.",45,100,25
Vise Grip,Normal,Physical,The target is gripped and squeezed from both sides to inflict damage.,55,100,30
Vital Throw,Fighting,Physical,"The user attacks last. In return, this throw move never misses.",70,,10
Volt Switch,Electric,Special,"After making its attack, the user rushes back to switch places with a party Pokémon in waiting.",70,100,20
Volt Tackle,Electric,Physical,The user electrifies itself and charges the target to inflict damage. This also damages the user quite a lot and may leave the target with paralysis.,120,100,15
Wake-Up Slap,Fighting,Physical,"This attack inflicts big damage on a sleeping target. This also wakes the target up, however.",70,100,10
Water Gun,Water,Special,The target is blasted with a forceful shot of water.,40,100,25
Water Pledge,Water,Special,"A column of water hits the target. When used with its fire counterpart, this move’s power is boosted and a rainbow appears.",80,100,10
Water Pulse,Water,Special,The user attacks the target with a pulsing blast of water. This may also confuse the target.,60,100,20
Water Shuriken,Water,Special,The user hits the target with throwing stars two to five times in a row. This move always goes first.,15,100,20
Water Sport,Water,Status,The user soaks the battlefield with water. This weakens Fire-type moves for five turns.,,,15
Water Spout,Water,Special,"The user spouts water to damage opposing Pokémon. The lower the user’s HP, the lower the move’s power.",150,100,5
Waterfall,Water,Physical,The user charges at the target and may make it flinch.,80,100,15
Wave Crash,Water,Physical,The user shrouds itself in water and slams into the target with its whole body to inflict damage. This also damages the user quite a lot.,120,100,10
Weather Ball,Normal,Special,This move’s type and power change depending on the weather at the time the move is used.,50,100,10
Whirlpool,Water,Special,"The user traps the target inside a violent, swirling whirlpool that inflicts damage for four to five turns.",35,85,15
Whirlwind,Normal,Status,"The target is blown away, and a different Pokémon is dragged out. In the wild, this ends a battle against a single Pokémon.",,,20
Wicked Blow,Dark,Physical,"The user, having mastered the Dark style, strikes the target with a fierce blow. This move always lands a critical hit.",75,100,5
Wicked Torque,Dark,Physical,,80,100,10
Wide Guard,Rock,Status,The user and its allies are protected from wide-ranging attacks for one turn.,,,10
Wild Charge,Electric,Physical,The user shrouds itself in electricity and smashes into the target. This also damages the user a little.,90,100,15
Wildbolt Storm,Electric,Special,The user summons a thunderous tempest and savagely attacks with lightning and wind. This may also leave opposing Pokémon with paralysis.,100,80,10
Will-O-Wisp,Fire,Status,The user shoots a sinister flame at the target to inflict a burn.,,85,15
Wing Attack,Flying,Physical,"The target is struck with large, imposing wings spread wide to inflict damage.",60,100,35
Wish,Normal,Status,"One turn after this move is used, the user’s or its replacement’s HP is restored by up to half the user’s max HP.",,,10
Withdraw,Water,Status,"The user withdraws its body into its hard shell, boosting its Defense stat.",,,40
Wonder Room,Psychic,Status,The user creates a bizarre area in which Pokémon’s Defense and Sp. Def stats are swapped for five turns.,,,10
Wood Hammer,Grass,Physical,The user slams its rugged body into the target to attack. This also damages the user quite a lot.,120,100,15
Work Up,Normal,Status,"The user is roused, and its Attack and Sp. Atk stats are boosted.",,,30
Worry Seed,Grass,Status,A seed that causes worry is planted on the target. It prevents sleep by making the target’s Ability Insomnia.,,100,10
Wrap,Normal,Physical,"A long body, vines, or the like are used to wrap and squeeze the target for four to five turns.",15,90,20
Wring Out,Normal,Special,"The user powerfully wrings the target. The more HP the target has, the greater the move’s power.",,100,5
X-Scissor,Bug,Physical,"The user slashes at the target by crossing its scythes, claws, or the like as if they were a pair of scissors.",80,100,15
Yawn,Normal,Status,The user lets loose a huge yawn that lulls the target into falling asleep on the next turn.,,,10
Zap Cannon,Electric,Special,The user attacks by firing an electric blast like a cannon. This also leaves the target with paralysis.,120,50,5
Zen Headbutt,Psychic,Physical,The user focuses its willpower to its head and attacks the target. This may also make the target flinch.,80,90,15
Zing Zap,Electric,Physical,"The user crashes into the target, delivering a powerful electric shock. This may also make the target flinch.",80,100,10
Zippy Zap,Electric,Physical,The user attacks the target with bursts of electricity at high speed. This move always goes first and results in a critical hit.,50,100,15
